speed_kmh,angle_deg,distance_m
172.15,19.45,97.01
53.60,55.41,13.24
196.33,-8.65,4.84
161.89,47.58,91.16
137.13,-45.14,0.41
107.43,-32.38,0.93
84.77,42.59,33.71
105.85,13.34,43.53
79.81,-28.04,2.53
42.08,28.06,8.27
158.36,-5.29,15.22
148.96,60.68,56.43
242.14,33.62,201.21
140.78,36.35,87.14
193.95,37.01,143.07
124.32,59.85,45.65
64.48,-30.15,2.58
147.28,-34.21,0.66
83.58,52.96,27.16
130.52,21.04,62.53
54.88,23.29,12.91
126.88,-11.03,4.83
55.32,-58.75,1.10
157.02,-13.35,4.51
210.17,17.48,132.97
184.98,26.27,126.70
112.91,-40.51,1.78
133.90,-19.87,3.30
83.73,-56.24,0.65
46.96,39.13,10.88
129.51,-56.06,0.68
181.28,3.65,40.46
67.82,-36.51,0.95
140.68,13.84,59.76
45.22,16.29,9.59
80.32,33.84,33.96
208.98,-35.25,0.77
210.11,16.39,116.02
120.12,20.61,69.73
119.68,42.77,60.99
81.45,50.11,28.07
121.84,-63.19,0.65
66.34,-70.70,0.86
161.97,23.66,94.06
146.04,14.90,62.41
118.61,-48.44,0.58
109.92,-29.93,1.43
92.92,1.44,14.01
191.31,19.27,109.87
128.86,18.11,58.18
39.19,54.30,9.85
118.22,-14.73,10.93
111.43,-19.44,2.45
128.99,-43.23,0.90
122.85,-35.86,1.93
74.75,-29.71,0.97
161.99,-30.72,1.14
136.52,82.61,4.72
155.29,22.00,83.08
90.73,-55.40,0.90
152.27,-8.02,8.60
215.06,-27.83,1.77
124.42,-24.21,2.75
64.09,48.55,20.57
234.07,-10.85,6.95
65.87,33.90,25.83
46.39,-52.86,1.50
86.73,-29.60,1.08
222.68,-19.77,3.09
188.36,28.00,143.13
113.69,40.08,60.00
224.83,15.64,141.41
192.19,-22.83,2.98
223.15,-11.40,6.82
90.03,6.75,18.93
82.84,-38.58,1.29
79.97,-33.98,1.46
85.94,-1.21,10.96
196.00,2.75,38.60
78.36,52.50,26.94
80.80,-24.73,3.01
69.73,-24.78,1.75
204.62,17.81,135.24
85.82,-50.59,0.79
69.07,24.98,20.30
124.55,42.80,64.74
75.53,-40.42,0.93
122.00,-34.00,0.98
103.92,70.39,31.69
187.42,39.19,124.36
162.97,-26.56,2.16
188.28,0.86,30.51
42.05,-5.56,5.28
44.42,-66.37,0.86
78.96,-30.43,2.57
31.21,-59.04,0.88
231.99,7.62,112.18
157.45,-4.76,11.43
98.44,48.47,41.93
127.62,-19.16,3.06
137.13,-61.86,0.59
132.35,32.21,82.03
202.14,15.16,112.88
108.91,-9.05,7.32
120.10,9.33,46.11
171.08,-35.40,1.11
119.64,-29.24,1.87
71.66,53.58,23.52
115.56,-7.88,7.78
112.89,53.56,45.68
128.02,23.59,76.14
70.83,-44.26,0.76
155.36,-33.39,2.21
190.81,-33.81,1.56
71.12,27.91,29.80
53.89,13.65,10.20
170.82,-64.94,0.52
184.58,-25.38,0.41
193.41,0.94,27.71
93.42,-35.52,1.60
169.48,-14.27,3.81
160.95,-16.39,1.72
169.24,0.84,18.52
98.83,-10.70,3.49
75.39,41.82,28.96
66.73,28.48,20.49
100.93,-88.02,0.00
157.37,-29.88,0.69
194.74,28.24,146.29
80.74,-34.13,0.24
102.68,61.63,30.40
98.79,-45.78,0.76
60.72,-42.23,0.90
141.23,79.97,11.52
102.23,21.06,40.22
88.43,-53.10,0.00
195.81,45.41,126.99
58.07,-38.03,0.39
69.34,-36.84,0.00
248.04,-36.73,1.02
46.80,-61.87,0.00
81.42,18.21,23.76
165.46,-55.70,0.00
130.13,26.95,80.02
116.08,23.26,60.69
157.90,-47.05,0.00
120.01,-33.62,0.92
158.31,25.02,95.61
164.35,27.90,95.88
58.80,-37.91,0.00
183.94,22.68,127.45
128.95,-36.75,0.18
201.46,-41.52,0.00
123.22,26.94,71.27
189.19,17.26,105.06
80.52,-7.63,4.61
164.71,-28.83,0.15
127.88,53.13,58.58
56.21,-57.18,0.00
72.55,23.88,18.86
198.35,18.33,136.87
147.06,-23.98,0.00
218.32,-30.07,0.19
94.83,-64.26,0.35
83.24,-52.35,0.24
65.96,-26.08,0.09
61.72,46.29,19.03
188.90,-39.26,0.43
65.32,-37.29,0.00
48.74,46.28,11.44
194.72,-22.00,1.14
92.01,39.57,44.01
36.26,39.01,6.97
198.52,1.35,23.62
93.51,-28.67,0.51
116.76,-20.74,1.19
120.76,19.89,55.13
40.83,63.10,7.70
142.69,6.30,32.05
184.42,-20.27,0.34
131.28,8.45,39.14
125.78,9.65,33.37
74.18,32.00,28.02
183.83,-22.44,0.57
144.29,39.31,88.16
132.33,12.71,47.53
64.43,-5.88,3.87
175.01,40.24,115.29
93.73,60.61,31.91
65.63,-10.03,3.00
133.53,2.34,17.02
58.09,-46.23,0.19
131.03,-11.52,3.45
109.11,66.14,36.75
115.22,-10.89,2.39
131.12,-43.27,0.00
69.49,-61.67,0.00
145.87,-21.16,0.70
188.87,52.91,101.16
79.67,65.07,14.34
149.32,-54.42,0.00
81.30,47.98,29.35
66.96,48.99,21.32
134.44,23.79,82.20
78.05,-22.11,1.15
213.79,-27.74,1.04
194.55,-22.12,1.57
107.94,18.10,35.90
142.70,36.46,83.58
96.26,-62.61,0.05
78.73,-34.60,0.00
118.89,58.18,46.22
109.47,-34.00,1.05
149.69,16.78,84.19
83.56,39.53,34.01
181.12,-34.90,0.44
107.95,22.50,60.59
119.29,31.33,59.18
173.20,1.52,19.91
176.04,64.23,68.89
77.83,54.37,26.02
121.69,-19.76,1.09
90.00,-19.46,0.65
134.95,14.69,62.38
220.25,-31.56,0.95
105.14,-35.09,0.28
74.10,-60.61,0.00
85.43,45.28,35.34
163.27,-48.87,0.00
211.35,-34.82,0.00
100.08,38.23,50.39
182.65,10.74,69.03
119.92,-54.40,0.48
94.25,32.97,47.46
68.09,61.06,18.67
197.82,-7.92,4.07
119.31,-42.69,0.07
143.61,46.31,79.65
86.40,-63.35,0.00
52.75,-44.83,0.16
133.76,-26.12,0.65
104.17,24.52,46.55
202.04,-25.75,0.69
150.00,64.87,58.99
125.28,37.66,65.23
71.82,-9.78,2.77
154.10,-72.07,0.00
91.74,-36.98,0.00
200.14,-6.49,4.32
183.86,-33.46,0.04
66.03,-20.81,1.51
184.06,4.73,41.31
112.88,63.19,35.60
88.93,45.12,37.91
76.51,-35.64,0.05
189.15,-19.72,1.05
258.22,-8.55,4.83
212.47,7.48,89.30
145.19,5.34,28.79
89.17,28.95,36.06
126.56,16.99,52.64
142.04,-13.47,2.97
188.81,-4.68,6.52
127.24,-23.90,0.62
142.13,-37.04,0.05
93.30,-55.91,0.17
50.76,69.80,4.14
88.01,-27.29,1.29
151.37,-23.49,0.07
142.61,-39.37,0.00
178.49,-8.33,4.75
59.49,-51.74,0.00
202.00,8.47,71.49
111.15,-46.59,0.30
162.57,-38.65,0.00
68.43,24.19,19.96
115.82,-22.57,0.69
107.38,52.73,44.72
57.97,9.85,10.60
97.99,34.24,43.30
63.67,-88.23,0.00
81.84,38.32,35.98
157.21,-3.72,6.83
47.02,42.38,11.09
42.98,-78.87,0.00
242.80,-35.62,0.44
107.70,14.68,46.24
128.45,25.73,68.04
82.77,21.67,23.62
151.02,22.88,89.51
151.18,38.38,95.64
86.03,28.91,32.18
82.23,-67.29,0.00
80.36,15.79,25.09
106.52,-59.29,0.00
71.85,-38.30,0.00
43.85,-0.74,4.00
196.98,-1.61,12.37
131.49,-53.06,0.00
103.30,13.69,38.17
94.52,-1.57,7.86
200.81,-29.14,0.75
97.61,33.45,45.77
119.99,23.52,59.13
157.47,-53.55,0.00
83.06,-43.87,0.00
140.76,27.95,85.69
174.26,-27.28,0.00
43.72,55.66,9.31
91.10,47.69,36.73
47.46,1.57,5.21
119.82,-23.69,0.65
165.76,43.39,101.37
96.07,-13.06,2.27
66.82,45.45,23.07
74.29,-23.93,0.31
172.04,35.23,115.31
206.87,-5.44,7.24
86.15,-30.84,0.00
148.81,-10.58,3.01
72.26,-41.57,0.00
116.35,-1.45,8.98
115.80,18.85,43.10
119.34,7.71,28.54
131.20,-14.49,1.85
161.51,11.53,58.67
81.98,68.00,16.32
160.79,-19.13,0.87
86.74,13.55,25.28
72.37,-43.50,0.67
79.67,-30.99,0.00
61.58,14.78,12.25
174.12,6.95,49.98
172.87,-39.52,0.00
175.99,37.71,119.43
140.69,-27.32,0.79
120.34,29.60,58.85
82.83,31.79,28.86
68.08,-35.75,0.93
103.06,29.46,56.84
154.82,-43.59,0.00
82.45,-28.46,1.17
147.14,17.03,74.15
105.96,-29.02,0.28
87.18,34.74,37.41
47.22,-42.06,0.00
121.60,-20.62,1.27
78.84,51.46,25.82
64.10,76.28,11.64
152.21,24.45,106.76
56.34,-78.15,0.00
139.52,-48.88,0.00
234.58,3.63,52.44
106.67,-21.12,1.08
185.37,23.50,119.54
152.52,-26.89,0.09
127.91,9.52,34.37
167.40,41.17,103.70
157.73,19.86,87.07
81.38,-19.51,1.07
65.01,-51.53,0.23
96.70,-37.10,0.00
101.36,-57.29,0.05
122.10,-24.06,0.05
126.47,-32.62,0.00
77.57,-12.10,2.36
63.21,47.84,19.76
80.48,55.13,27.32
90.89,-25.21,0.05
75.06,30.19,34.41
119.87,-5.37,5.53
53.97,7.25,7.26
108.76,-40.54,0.00
149.29,34.45,98.61
196.39,8.15,68.77
196.72,-12.69,2.39
85.58,43.54,37.30
131.44,-40.12,0.00
98.14,53.59,37.93
134.44,-37.73,0.00
62.55,-57.23,0.08
81.39,41.11,31.10
70.62,13.38,17.59
77.24,0.09,7.86
122.47,32.29,70.56
89.54,1.65,9.68
81.11,-33.95,0.76
94.85,-4.61,4.97
161.18,-48.28,0.00
57.42,19.83,14.01
136.49,23.95,83.84
82.86,23.09,28.32
89.08,-33.97,0.00
120.45,37.93,67.89
194.86,27.64,146.35
90.19,76.11,18.07
34.99,31.81,6.82
232.91,2.75,44.40
76.06,-9.24,2.38
96.67,-28.37,0.00
153.80,53.05,76.65
107.89,-28.56,0.00
167.69,33.09,117.54
39.00,-39.16,0.23
